Title,Genres,Company,Platform,Rel
Tiger Woods PGA Tour 07,Sports,EA,PlayStation 3,2006
Ace Combat X: Skies of Deception,"Action,Simulation",Namco,Sony PSP,2006
Killzone: Liberation,"Action,Strategy",Sony,Sony PSP,2006
F.E.A.R.: First Encounter Assault Recon,Action,,X360,2006
NBA 2K7,Sports,2K,PlayStation 3,2006
Tony Hawk's Project 8,Sports,Activision,PlayStation 3,2006
Avatar: The Last Airbender,Action,THQ,Nintendo DS,2006
Castlevania: Portrait of Ruin,Action,Konami,Nintendo DS,2006
Hitman: Blood Money,Action,Eidos,X360,2006
Rockstar Games presents Table Tennis,Sports,Rockstar,X360,2006
Trauma Center: Second Opinion,"Action,Simulation",Nintendo,Nintendo Wii,2006
Tenchu Z,Action,Microsoft,X360,2006
Elite Beat Agents,Action,Nintendo,Nintendo DS,2006
Street Fighter Alpha 3 MAX,Action,Capcom,Sony PSP,2006
Blue Dragon,Role-Playing (RPG),Microsoft,X360,2006
The Lord of the Rings: The Battle for Middle Ea...,Strategy,EA,X360,2006
Prey,Action,2K,X360,2006
Over the Hedge,Adventure,Activision,Nintendo DS,2006
Capcom Classics Collection Reloaded,Action,Capcom,Sony PSP,2006
Pirates of the Caribbean: Dead Man's Chest,Action,,Sony PSP,2006
NHL 07 ,Sports,EA,X360,2006
Monster Hunter Freedom,"Action,Strategy",Capcom,Sony PSP,2006
Chromehounds,"Action,Simulation,Strategy",Sega,X360,2006
Test Drive Unlimited,Racing / Driving,Atari,X360,2006
Dragon Ball Z: Budokai Tenkaichi 2,Action,Atari,Nintendo Wii,2006
Dragon Quest Monsters: Joker,Role-Playing (RPG),SquareEnix,Nintendo DS,2006
Pirates of the Caribbean: Dead Man's Chest,Action,,Nintendo DS,2006
NFL Street 3,"Action,Sports",EA,Sony PSP,2006
Syphon Filter: Dark Mirror,Action,Sony,Sony PSP,2006
NBA 07,Sports,Sony,PlayStation 3,2006
Ridge Racer 7,Racing / Driving,"Namco,Sony",PlayStation 3,2006
The Outfit,Action,THQ,X360,2006
Elebits,Action,Konami,Nintendo Wii,2006
Tony Hawk's Downhill Jam,"Racing / Driving,Sports",Activision,Nintendo DS,2006
The Sims 2: Pets,Simulation,EA,Sony PSP,2006
Tiger Woods PGA Tour 07,Sports,EA,Sony PSP,2006
Thrillville,"Simulation,Strategy",Atari,Sony PSP,2006
The Godfather: The Game,Action,EA,X360,2006
Rampage: Total Destruction,Action,Midway,Nintendo Wii,2006
College Hoops 2K7,Sports,2K,X360,2006
Far Cry: Instincts - Predator,Action,Ubisoft,X360,2006
Full Auto,"Action,Racing / Driving",Sega,X360,2006
Age of Empires: The Age of Kings,Strategy,,Nintendo DS,2006
Need for Speed: Carbon - Own the City,"Action,Racing / Driving",EA,Nintendo DS,2006
Brothers in Arms: D-Day,Action,Ubisoft,Sony PSP,2006
Family Guy Video Game!,Action,2K,Sony PSP,2006
Superman Returns,Action,EA,X360,2006
Over G Fighters,Simulation,Ubisoft,X360,2006
Final Fantasy XI Online,"Action,Role-Playing (RPG)",SquareEnix,X360,2006
Mystery Dungeon: Shiren the Wanderer,"Action,Role-Playing (RPG)",Sega,Nintendo DS,2006
Phoenix Wright: Ace Attorney - Justice for All,"Adventure,Simulation",Capcom,Nintendo DS,2006
Justice League Heroes,Action,,Sony PSP,2006
Valhalla Knights,"Action,Role-Playing (RPG)",,Sony PSP,2006
Genji: Days of the Blade,"Action,Role-Playing (RPG)",Sony,PlayStation 3,2006
Top Spin 2,Sports,2K,X360,2006
Field Commander,Strategy,"Sony,Ubisoft",Sony PSP,2006
Children of Mana,"Action,Role-Playing (RPG)","Nintendo,SquareEnix",Nintendo DS,2006
Valkyrie Profile: Lenneth,Role-Playing (RPG),SquareEnix,Sony PSP,2006
Monster House,Action,THQ,Nintendo DS,2006
Enchanted Arms,Role-Playing (RPG),Ubisoft,X360,2006
NHL 07,Sports,EA,Sony PSP,2006
Bust-a-Move Deluxe,Strategy,,Sony PSP,2006
Full Auto 2: Battlelines,"Action,Racing / Driving",Sega,PlayStation 3,2006
Blitz: The League,Sports,Midway,X360,2006
Star Trek Legacy,"Action,Strategy",Ubisoft,X360,2006
Eragon,"Action,Role-Playing (RPG)",,Nintendo DS,2006
Master of Illusion,Strategy,Nintendo,Nintendo DS,2006
Mega Man ZX,Action,Capcom,Nintendo DS,2006
Untold Legends: The Warrior's Code,"Action,Role-Playing (RPG)","Sony,Ubisoft",Sony PSP,2006
Super Swing Golf,Sports,,Nintendo Wii,2006
X-Men: The Official Game,Action,Activision,X360,2006
Untold Legends: Dark Kingdom,"Action,Role-Playing (RPG)","EA,Sony",PlayStation 3,2006
Happy Feet,Action,Midway,Nintendo Wii,2006
Open Season,Action,Ubisoft,Nintendo DS,2006
Dungeon Siege: Throne of Agony,Role-Playing (RPG),2K,Sony PSP,2006
LocoRoco,"Action,Strategy",Sony,Sony PSP,2006
Dead or Alive: Xtreme 2,"Racing / Driving,Sports",,X360,2006
Fuzion Frenzy 2,"Action,Sports",Microsoft,X360,2006
MotoGP '06,"Racing / Driving,Simulation,Sports",THQ,X360,2006
Lumines II,Strategy,,Sony PSP,2006
Major League Baseball 2K6,Sports,2K,Sony PSP,2006
Star Wars: Lethal Alliance,Action,Ubisoft,Sony PSP,2006
Worms: Open Warfare,"Action,Strategy",THQ,Sony PSP,2006
Eragon,Action,,Sony PSP,2006
Metal Slug Anthology,Action,,Nintendo Wii,2006
Open Season,Action,Ubisoft,X360,2006
Tom Clancy's Splinter Cell: Double Agent,Action,Ubisoft,Nintendo Wii,2006
Avatar: The Last Airbender,Action,THQ,Sony PSP,2006
Lemmings,Strategy,Sony,Sony PSP,2006
Mega Man Powered Up,Action,Capcom,Sony PSP,2006
College Hoops 2K6,Sports,2K,X360,2006
Dynasty Warriors 5: Empires,"Action,Role-Playing (RPG),Strategy",,X360,2006
Magical Starsign,Role-Playing (RPG),Nintendo,Nintendo DS,2006
Resident Evil: Deadly Silence,Action,Capcom,Nintendo DS,2006
X-Men: The Official Game,Action,Activision,Nintendo DS,2006
Cabela's African Safari,Sports,Activision,X360,2006
Cabela's Alaskan Adventures,Sports,Activision,X360,2006
Armored Core 4,Action,Sega,PlayStation 3,2006
Eragon,Action,,X360,2006
LostMagic,"Action,Role-Playing (RPG)",Ubisoft,Nintendo DS,2006
Magnetica,"Action,Strategy",Nintendo,Nintendo DS,2006
Def Jam Fight for NY: The Takeover,Action,EA,Sony PSP,2006
NASCAR 07,"Racing / Driving,Simulation",EA,Sony PSP,2006
The Ant Bully,Action,Midway,Nintendo Wii,2006
Just Cause,"Action,Racing / Driving",Eidos,X360,2006
Onechanbara: Bikini Samurai Squad,Action,,X360,2006
Phantasy Star Universe,Role-Playing (RPG),Sega,X360,2006
Project Sylpheed: Arc of Deception,Action,"Microsoft,SquareEnix",X360,2006
Winning Eleven: Pro Evolution Soccer 2007,Sports,Konami,X360,2006
Kororinpa: Marble Mania,"Action,Strategy",Nintendo,Nintendo Wii,2006
Digimon World DS,Role-Playing (RPG),Namco,Nintendo DS,2006
Justice League Heroes,Action,,Nintendo DS,2006
Innocent Life: A Futuristic Harvest Moon,"Role-Playing (RPG),Simulation,Strategy",,Sony PSP,2006
Power Stone Collection,Action,Capcom,Sony PSP,2006
EA Replay,"Action,Role-Playing (RPG),Simulation,Sports,Strategy",EA,Sony PSP,2006
Open Season,Action,Ubisoft,Nintendo Wii,2006
Samurai Warriors 2,Action,,X360,2006
Far Cry: Vengeance,Action,Ubisoft,Nintendo Wii,2006
Import Tuner Challenge,Racing / Driving,Ubisoft,X360,2006
